Time_s,Output
0.670335,1.27997092802446e-318
0.671336,1.22314843809626e-318
0.672336,-7.27037360481228e-319
0.673337,-6.91474515293575e-319
0.674337,-6.5794227991033e-319
0.675338,-6.2588730080815e-319
0.676338,-5.9607043908163e-319
0.677339,-5.67711071010343e-319
0.678339,-5.40972238257414e-319
0.67934,-5.15760068350136e-319
0.68034,-4.91901638312462e-319
0.681341,-4.69347541579809e-319
0.682341,-4.48008846335926e-319
0.683342,-4.27811442733935e-319
0.684342,-4.08725686835088e-319
0.685343,-3.90914620302511e-319
0.686343,-3.74234964098911e-319
0.687344,-3.58103720762194e-319
0.688344,-3.42693813268405e-319
0.689345,-3.28716696147557e-319
0.690345,-3.1507554366588e-319
0.691346,-3.02106320462547e-319
0.692346,-2.90308032839858e-319
0.693347,-2.7875677804009e-319
0.694347,-2.68381399477424e-319
0.695348,-2.57862741877463e-319
0.696348,-2.48653358238983e-319
0.697349,-2.39681126110506e-319
0.698349,-2.30822529080572e-319
0.69935,1.69440801372547e-318
0.70035,1.62312916299996e-318
0.701351,1.5471023414179e-318
0.702351,1.47562586443405e-318
0.703352,1.40798333686193e-318
0.704352,1.34426863117424e-318
0.705353,1.28353314133097e-318
0.706353,1.22674523599798e-318
0.707354,-7.29008682408135e-319
0.708354,-6.93569353631942e-319
0.709355,-6.60046999561613e-319
0.710355,-6.27744987636513e-319
0.711356,-5.97804609498533e-319
0.712356,-5.69504529304746e-319
0.713357,-5.42587832919315e-319
0.714357,-5.171780367537e-319
0.715358,-4.93275140807901e-319
0.716358,-4.70701281449414e-319
0.717359,-4.49253891763445e-319
0.718359,-4.29016962909788e-319
0.71936,-4.09822512568856e-319
0.72036,-3.92050971287946e-319
0.721361,-3.75213214077676e-319
0.722361,-3.59091852053876e-319
0.723362,-3.43667122590713e-319
0.724362,-3.29517082493819e-319
0.725363,-3.15900633294435e-319
0.726363,-3.02862240900684e-319
0.727364,-2.90994784087577e-319
0.728364,-2.79507757821768e-319
0.729365,-2.68924871687849e-319
0.730365,-2.58455620652473e-319
0.731366,-2.49083195350864e-319
0.732366,-2.40293767511349e-319
0.733367,-2.31445051794332e-319
0.734367,1.69130034081313e-318
0.735368,1.62794136239045e-318
0.736368,1.55169715192423e-318
0.737369,1.47984518504954e-318
0.738369,1.41202479384491e-318
0.73937,1.34803341139555e-318
0.74037,1.28723863367478e-318
0.741371,1.23004065385574e-318
0.742371,-7.3079720004608e-319
0.743372,-6.95664191970309e-319
0.744372,-6.62023262144978e-319
0.745373,-6.29607615121334e-319
0.746373,-5.99568423854186e-319
0.747374,-5.7136221613311e-319
0.748374,-5.4412931773434e-319
0.749375,-5.187343435381e-319
0.750375,-4.94732634463132e-319
0.751376,-4.72005614754435e-319
0.752376,-4.50538462442633e-319
0.753377,-4.30168135864598e-319
0.754377,-4.11013210775333e-319
0.755378,-3.93187322273381e-319
0.756378,-3.76216167338734e-319
0.757379,-3.60030576780975e-319
0.758379,-3.44610787974269e-319
0.75938,-3.30317468840082e-319
